,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 48 3 0.0003 0.0 0.01,36.39717674255371,69.00730228424072,6.3694480657577515,50.16006660461426,1.9207917749881744,4.809764325618744
simple_nn 48 5 0.0003 0.0 0.01,45.51390361785889,92.58992767333984,6.558535218238831,76.92143249511719,1.9788046479225159,5.5715848207473755
simple_nn 48 5 0.0002 0.0 0.02,70.42525482177734,128.58059310913086,7.524622201919556,76.75758838653564,2.069274812936783,5.557551622390747
simple_nn 48 5 0.0002 0.0 0.01,49.47391414642334,96.84475326538086,8.092963695526123,72.00685024261475,2.0958093404769897,5.4639657735824585
simple_nn 48 5 0.0003 0.0 0.02,65.09530925750732,98.36278915405273,7.649632096290588,63.75307655334473,2.104436367750168,4.916106581687927
simple_nn 48 3 0.0002 0.0 0.01,49.797210693359375,112.89794540405273,8.756537318229675,89.49616241455078,2.1171002089977264,6.100826382637024
simple_nn 48 1 0.0003 0.0 0.01,38.240458488464355,99.29644584655762,9.589099884033203,92.32227897644043,2.3052213191986084,6.819998264312744
simple_nn 48 3 0.0003 0.0 0.02,48.4379940032959,84.46721458435059,9.263858079910278,64.45032787322998,2.3604243397712708,5.050887167453766
simple_nn 48 1 0.0002 0.0 0.01,53.85793209075928,115.06795883178711,9.813930988311768,97.9720573425293,2.384098708629608,6.702922344207764
simple_nn 48 5 0.0003 0.0 0.1,134.0360870361328,168.71651077270508,11.831292748451233,72.41874694824219,2.555360198020935,5.58189857006073
